STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
pictor	6024.06	549.33	387.17	45.40	171.18	8.00
piless	6396.62	786.83	442.98	54.80	114.00	7.75
pilest	5680.28	532.00	575.93	70.80	139.51	18.75
pilled	9422.14	961.50	2532.08	276.60	588.59	42.75
placks	4641.70	661.00	495.49	68.20	245.94	20.50
pladle	6825.59	563.50	1258.28	95.00	199.54	17.00
plairs	6903.96	825.00	618.74	82.00	176.72	10.50
planty	4852.08	515.33	747.23	72.20	232.91	14.50
plaved	8629.63	888.83	2308.51	247.80	240.60	21.25
plaven	7196.56	777.33	767.53	87.00	225.27	18.25
pleank	4273.24	417.17	391.34	48.60	78.93	7.25
pleety	4974.23	513.00	452.70	57.20	82.47	8.25
pocide	7654.54	635.83	654.58	41.20	225.55	3.50
polies	10770.36	1247.00	1389.29	181.60	389.96	22.00
poliet	10054.02	992.17	1019.53	93.40	301.54	10.50
polise	7937.46	678.83	871.83	76.40	247.42	12.50
pollet	8915.69	908.17	1244.54	118.80	425.52	29.50
polved	9589.30	963.17	2398.30	246.60	195.36	15.00
porger	9685.38	982.00	2088.83	204.00	226.28	20.00
pothes	10098.37	1117.67	1888.41	172.00	571.98	19.00
poudid	6384.96	615.50	653.30	51.00	80.02	2.50
pouner	9242.83	937.67	2296.67	199.80	255.42	13.50
pouply	6499.48	577.67	1686.67	80.40	212.85	4.00
pourse	6623.95	570.83	1124.20	59.00	573.44	7.75
pousea	7573.74	821.83	929.71	82.40	194.41	11.75
pousey	8551.78	905.83	967.16	88.60	196.58	12.00
poward	6740.09	618.50	593.01	49.00	128.97	7.50
powist	6369.21	565.83	606.52	71.00	75.79	9.50
praved	8900.39	925.33	2292.91	258.60	151.25	19.25
preast	4770.28	473.50	690.76	70.40	176.53	13.00
prigin	4096.85	456.83	581.89	60.40	109.44	9.25
pringe	6049.41	508.00	933.55	76.40	335.72	17.00
prings	5649.08	705.00	901.14	70.60	407.14	18.50
priven	7256.21	789.00	810.07	92.60	149.77	15.75
prould	7904.48	603.00	1500.81	52.40	751.87	8.50
proups	6004.67	674.17	1165.57	61.80	358.53	10.75
pubber	7323.57	811.50	1717.51	168.40	235.22	16.00
publen	7146.02	787.50	890.31	90.40	210.50	6.25
publid	5197.31	541.00	442.72	36.80	266.72	2.25
